rainfall,soil_moisture,humidity,temperature,slope,landslide
20,15,55,41.7,5,0
25,18,58,39.1,6,0
30,20,60,40.2,8,0
35,22,62,41.5,10,0
40,25,65,36.1,12,0
45,28,68,35.1,14,0
50,30,70,38.7,15,0
55,35,72,35.8,18,0
60,40,75,31.7,20,0
65,45,78,33.2,22,0
70,50,80,29.8,24,0
75,55,82,29.0,26,0
80,60,85,29.7,28,0
85,65,87,20.5,30,1
90,68,88,20.2,31,1
95,70,89,22.4,32,1
100,72,90,20.6,33,1
105,74,91,23.2,34,1
110,76,92,19.4,35,1
115,78,93,17.4,36,1
120,80,94,23.9,37,1
125,82,95,18.9,38,1
130,84,96,19.0,39,1
135,86,97,14.5,40,1
140,88,98,16.0,41,1
145,90,98,17.1,42,1
50,32,70,31.9,18,0
60,38,74,34.0,20,0
70,42,76,30.1,22,0
80,48,80,29.1,25,0
90,55,85,26.5,27,0
100,60,88,31.0,29,0
110,66,90,21.9,31,1
120,72,92,17.9,33,1
40,24,64,38.9,11,0
35,21,60,34.9,9,0
30,19,58,39.4,8,0
85,67,86,20.5,29,1
95,71,88,20.6,31,1
105,75,90,23.0,33,1
115,79,92,22.9,35,1
45,27,66,36.4,13,0
55,33,70,33.9,16,0
65,39,74,31.7,19,0
75,46,78,27.0,22,0
85,53,82,27.2,25,0
95,60,86,26.1,28,0
105,68,89,25.3,30,1
115,75,91,22.1,32,1
45,28,65,31.7,12,0
52,34,70,35.4,15,0
60,40,75,31.9,18,0
72,48,80,29.1,22,0
30,20,58,40.4,8,0
110,72,90,24.5,33,1
95,65,85,26.7,28,1
40,25,62,35.0,10,0
55,36,72,33.1,17,0
120,80,94,21.1,37,1
70,50,78,33.7,23,0
85,60,82,27.8,26,0
35,22,60,37.5,9,0
100,70,88,20.6,31,1
65,42,74,29.5,19,0
130,84,96,20.8,39,1
48,30,68,38.7,14,0
90,64,86,24.7,27,1
38,24,61,40.0,11,0
75,52,79,31.5,24,0
140,88,98,15.7,41,1
28,18,55,40.4,7,0
115,76,91,25.1,34,1
68,46,76,31.7,21,0
80,55,81,33.6,25,0
33,21,59,31.8,8,0
105,73,89,24.7,32,1
50,32,69,35.1,16,0
92,66,87,23.7,29,1
58,37,71,34.0,18,0
125,82,95,14.5,38,1
41,26,64,36.2,12,0
77,53,80,31.1,24,0
63,41,74,36.4,20,0
88,62,84,24.1,27,1
34,23,60,36.1,9,0
97,68,88,22.5,30,1
53,33,70,36.7,16,0
71,49,77,32.2,23,0
108,75,90,20.9,33,1
46,29,66,37.1,13,0
82,58,83,29.4,26,0
39,25,63,39.5,11,0
94,67,86,22.6,29,1
57,36,72,32.9,17,0
121,81,94,19.1,37,1
69,45,75,28.2,21,0
86,61,83,26.5,27,1
36,22,60,38.5,9,0
101,71,88,23.3,31,1
64,43,74,32.0,19,0
132,85,96,15.0,40,1
49,31,68,34.1,14,0
91,65,86,23.9,28,1
37,24,62,35.5,10,0
76,52,79,30.1,23,0
142,89,98,18.1,42,1
29,19,56,42.0,7,0
118,78,92,21.2,35,1
67,44,76,32.6,21,0
83,59,82,29.0,25,0
32,21,58,33.8,8,0
106,74,89,22.5,32,1
51,33,69,35.0,16,0
93,66,87,30.5,29,1
59,38,71,33.1,18,0
126,83,95,20.2,38,1
42,27,65,36.4,12,0
78,54,80,27.2,24,0
62,40,73,35.8,19,0
87,61,84,27.4,27,1
35,23,60,40.0,9,0
98,69,88,21.4,30,1
54,34,70,37.8,16,0
72,50,77,27.7,23,0
109,76,90,23.5,33,1
47,30,66,41.2,13,0
84,60,83,26.5,26,0
40,26,63,35.6,11,0
96,67,86,24.4,29,1
56,35,71,32.7,17,0
122,81,94,16.1,37,1
70,46,75,31.9,21,0
89,63,85,22.4,28,1
31,20,57,40.1,8,0
102,72,88,20.9,31,1
66,43,74,36.2,19,0
134,86,97,16.2,40,1
50,32,68,34.3,15,0
92,65,86,26.6,28,1
38,25,62,34.3,10,0
74,51,78,31.4,23,0
143,90,98,20.3,42,1
28,18,55,35.5,7,0
116,77,91,21.6,34,1
68,45,76,32.5,21,0
81,57,82,31.4,25,0
33,22,59,35.3,8,0
107,74,89,19.2,32,1
122,18,55,30.2,37,0
73,75,90,29.9,34,0
58,25,69,34.7,7,0
112,89,89,25.8,20,0
94,32,92,24.8,22,0
125,74,75,26.1,20,0
107,26,79,27.7,11,0
115,85,78,21.4,34,1
42,48,68,40.7,16,0
42,70,65,37.6,37,0
36,20,68,33.7,33,0
143,30,84,23.8,31,0
49,57,91,29.3,31,0
27,17,58,41.2,18,0
26,58,81,38.7,7,0
106,17,90,23.4,34,0
71,27,66,35.4,5,0
125,85,74,26.7,22,0
59,27,72,35.5,5,0
92,36,60,36.3,6,0
61,47,76,32.0,12,0
92,65,84,26.0,10,0
59,47,58,33.4,15,0
130,17,91,20.5,28,0
78,75,77,30.4,38,0
37,85,63,38.2,42,0
131,57,78,25.1,16,0
124,48,69,28.6,21,0
119,64,94,23.4,15,0
68,39,87,33.8,21,0
122,49,56,28.1,20,0
134,88,57,31.1,26,1
45,51,61,38.3,10,0
68,31,62,31.8,27,0
25,62,86,32.5,6,0
26,89,56,40.8,39,0
100,24,97,24.5,13,0
115,76,97,25.1,10,0
29,33,62,39.6,39,0
36,36,87,33.6,20,0
140,88,63,23.6,6,0
148,83,68,17.2,31,1
55,54,83,31.1,37,0
101,75,94,27.5,6,0
137,64,88,19.8,31,1
131,40,98,18.3,40,0
133,19,94,22.2,13,0
121,79,68,25.0,42,1
130,29,61,24.9,5,0
148,58,65,24.8,25,0
71,63,60,34.1,18,0
33,35,89,31.0,16,0
128,25,61,28.2,16,0
132,50,97,22.8,36,0
133,51,66,28.7,17,0
116,34,90,26.9,42,0
72,15,70,28.8,39,0
44,38,85,30.8,28,0
